episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,3,1,-5.12,0.9995,1,0,6
2,8,0,0,3,1,-6.23,0.999,1,0,10
3,6,0,0,2,1,-6.46,0.9986,1,0,11
4,11,0,0,2,1,-8.51,0.9981,1,0,11
5,5,0,0,3,1,-4.75,0.9976,1,0,14
6,36,0,0,3,2,-13.21,0.9971,1,0,19
7,5,0,0,3,1,-5.7,0.9967,1,0,20
8,11,0,0,2,1,-7.11,0.9962,1,0,20
9,13,0,0,1,1,-9.33,0.9957,1,0,22
10,24,0,0,3,1,-12.34,0.9952,1,0,22
11,12,0,0,4,1,-6.52,0.9948,1,0,22
12,7,0,0,4,1,-6.37,0.9943,1,0,22
13,5,0,0,4,1,-5.35,0.9938,1,0,22
14,10,0,0,1,1,-7.3,0.9933,1,0,23
15,6,0,0,3,1,-5.16,0.9929,1,0,23
16,9,0,0,3,1,-5.89,0.9924,1,0,23
17,15,0,0,3,1,-8.3,0.9919,1,0,23
18,7,0,0,2,1,-6.47,0.9915,1,0,23
19,11,0,0,3,1,-7.71,0.991,1,0,23
20,14,0,0,2,1,-9.64,0.9905,1,0,23
21,6,0,0,2,1,-5.06,0.99,1,0,24
22,11,0,0,2,1,-7.11,0.9896,1,0,24
23,13,0,0,4,1,-5.98,0.9891,1,0,24
24,7,0,0,4,1,-6.42,0.9886,1,0,24
25,5,0,0,3,1,-5.2,0.9881,1,0,24
26,6,0,0,3,1,-5.71,0.9877,1,0,24
27,34,0,0,4,1,-13.34,0.9872,1,0,24
28,14,0,0,2,1,-6.79,0.9867,1,0,24
29,6,0,0,3,1,-6.16,0.9862,1,0,24
30,15,0,0,2,1,-9.1,0.9858,1,0,24
31,10,0,0,2,1,-6.55,0.9853,1,0,24
32,18,0,0,4,1,-9.18,0.9848,1,0,24
33,10,0,0,3,1,-7.25,0.9843,1,0,24
34,36,0,0,4,2,-16.96,0.9839,1,0,26
35,9,0,0,3,1,-6.64,0.9834,1,0,26
36,5,0,0,3,1,-4.6,0.9829,1,0,26
37,23,0,0,2,1,-9.83,0.9824,1,0,26
38,8,0,0,3,1,-6.23,0.9819,1,0,26
39,7,0,0,2,1,-5.67,0.9815,1,0,26
40,5,0,0,2,1,-5.35,0.981,1,0,26
41,5,0,0,1,1,-5.85,0.9805,1,0,26
42,5,0,0,3,1,-5.2,0.98,1,0,26
43,9,0,0,2,1,-6.14,0.9796,1,0,26
44,5,0,0,3,1,-5.65,0.9791,1,0,26
45,50,0,0,14,3,-13.15,0.9786,1,0,30
46,5,0,0,3,1,-5.65,0.9781,1,0,30
47,21,0,0,3,1,-12.41,0.9777,1,0,30
48,5,0,0,2,1,-5.5,0.9772,1,0,30
49,8,0,0,3,1,-6.63,0.9767,1,0,30
50,6,0,0,3,1,-5.61,0.9762,1,0,30
51,11,0,0,3,1,-7.71,0.9758,1,0,30
52,19,0,0,3,1,-8.99,0.9753,1,0,30
53,28,0,0,5,1,-12.48,0.9748,1,0,30
54,6,0,0,4,1,-4.41,0.9744,1,0,30
55,8,0,0,4,1,-4.48,0.9739,1,0,30
56,22,0,0,2,1,-10.22,0.9734,1,0,30
57,5,0,0,4,1,-5.3,0.9729,1,0,30
