episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,9,0,0,2,1,-4.635,0.9995,1,0,0.0124
2,5,0,0,3,1,-4.095,0.999,1,0,0.0173
3,8,0,0,3,1,-4.275,0.9986,1,0,0.0267
4,9,0,0,0,1,-5.185,0.9981,1,0,0.0345
5,11,0,0,2,1,-4.605,0.9976,1,0,0.0436
6,8,0,0,4,1,-3.975,0.9971,1,0,0.0521
7,7,0,0,2,1,-4.565,0.9967,1,0,0.0583
8,11,0,0,3,1,-4.455,0.9962,1,0,0.0661
9,24,2,2,6,3,-1.427,0.9957,1,0,0.0703
10,11,0,0,1,1,-4.905,0.9952,1,0,0.0795
11,6,0,0,4,1,-3.855,0.9948,1,0,0.0873
12,5,0,0,3,1,-4.195,0.9943,1,0,0.0962
13,17,0,0,1,1,-5.565,0.9938,1,0,0.1037
14,7,0,0,4,1,-3.615,0.9933,1,0,0.1111
15,23,1,1,7,2,-2.17,0.9929,1,0,0.1113
16,14,0,0,3,1,-4.285,0.9924,1,0,0.1144
17,8,0,0,4,1,-3.875,0.9919,1,0,0.1211
18,9,0,0,3,1,-4.235,0.9915,1,0,0.1285
19,18,0,0,5,2,-3.92,0.991,1,0,0.1342
20,9,0,0,3,1,-4.1885,0.9905,1,0,0.1355
21,6,0,0,2,1,-4.655,0.99,1,0,0.1437
22,8,0,0,3,1,-4.175,0.9896,1,0,0.1506
23,6,0,0,4,1,-3.755,0.9891,1,0,0.1569
24,7,0,0,2,1,-4.415,0.9886,1,0,0.1641
25,5,0,0,4,1,-3.895,0.9881,1,0,0.1712
26,20,0,0,3,2,-4.64,0.9877,1,0,0.1684
27,7,0,0,2,1,-4.367,0.9872,1,0,0.1705
28,20,0,0,5,2,-3.9915,0.9867,1,0,0.1711
29,8,0,0,3,1,-4.125,0.9862,1,0,0.1743
30,5,0,0,2,1,-4.445,0.9858,1,0,0.1768
31,6,0,0,2,1,-4.605,0.9853,1,0,0.1836
32,7,0,0,2,1,-4.565,0.9848,1,0,0.1905
33,7,0,0,4,1,-3.915,0.9843,1,0,0.1961
34,26,0,0,9,3,-2.8965,0.9839,1,0,0.194
35,7,0,0,1,1,-4.865,0.9834,1,0,0.1967
36,5,0,0,4,1,-3.795,0.9829,1,0,0.2021
37,10,0,0,4,1,-4.095,0.9824,1,0,0.2078
38,9,0,0,2,1,-4.485,0.9819,1,0,0.2113
39,6,0,0,3,1,-3.907,0.9815,1,0,0.2146
40,10,0,0,2,1,-4.645,0.981,1,0,0.2198
41,11,0,0,3,1,-4.505,0.9805,1,0,0.2225
42,9,0,0,4,1,-4.135,0.98,1,0,0.2276
43,6,0,0,3,1,-4.355,0.9796,1,0,0.2334
44,6,0,0,3,1,-3.907,0.9791,1,0,0.2371
45,5,0,0,4,1,-3.695,0.9786,1,0,0.242
46,6,0,0,3,1,-4.255,0.9781,1,0,0.2473
47,10,0,0,3,1,-4.247,0.9777,1,0,0.2498
48,6,0,0,1,1,-4.905,0.9772,1,0,0.256
49,10,0,0,1,1,-5.045,0.9767,1,0,0.262
50,7,0,0,2,1,-4.365,0.9762,1,0,0.2656
51,9,0,0,2,1,-4.685,0.9758,1,0,0.2708
52,7,0,0,4,1,-3.765,0.9753,1,0,0.2729
53,7,0,0,2,1,-4.515,0.9748,1,0,0.2764
54,5,0,0,4,1,-3.795,0.9744,1,0,0.2804
55,16,0,0,6,2,-3.55,0.9739,1,0,0.2786
56,22,1,1,7,3,-2.259,0.9734,1,0,0.28
57,8,0,0,3,1,-4.275,0.9729,1,0,0.2843
58,6,0,0,3,1,-4.155,0.9725,1,0,0.2894
59,5,0,0,3,1,-3.995,0.972,1,0,0.292
60,8,0,0,2,1,-4.575,0.9715,1,0,0.2966
61,5,0,0,3,1,-4.295,0.971,1,0,0.3014
62,7,0,0,3,1,-4.065,0.9706,1,0,0.3048
63,5,0,0,3,1,-4.145,0.9701,1,0,0.307
64,12,0,0,3,1,-4.165,0.9696,1,0,0.3072
65,11,0,0,1,1,-5.055,0.9691,1,0,0.311
66,7,0,0,3,1,-4.165,0.9687,1,0,0.3144
67,7,0,0,2,1,-4.465,0.9682,1,0,0.3183
