episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,3,1,-5.12,0.9995,1,0,6
2,8,0,0,3,1,-6.23,0.999,1,0,10
3,6,0,0,2,1,-6.46,0.9986,1,0,11
4,11,0,0,2,1,-8.51,0.9981,1,0,11
5,5,0,0,3,1,-4.75,0.9976,1,0,14
6,36,0,0,3,2,-13.21,0.9971,1,0,19
7,5,0,0,3,1,-5.7,0.9967,1,0,20
8,11,0,0,2,1,-7.11,0.9962,1,0,20
9,13,0,0,1,1,-9.33,0.9957,1,0,22
10,10,0,0,2,1,-8.0,0.9952,1,0,22
11,14,0,0,4,1,-8.49,0.9948,1,0,22
12,12,0,0,3,1,-6.92,0.9943,1,0,22
13,7,0,0,3,1,-6.67,0.9938,1,0,22
14,5,0,0,4,1,-5.25,0.9933,1,0,22
15,10,0,0,1,1,-7.3,0.9929,1,0,22
16,6,0,0,3,1,-4.66,0.9924,1,0,22
17,9,0,0,2,1,-6.19,0.9919,1,0,22
18,15,0,0,3,1,-8.4,0.9915,1,0,22
19,7,0,0,1,1,-6.77,0.991,1,0,22
20,11,0,0,4,1,-7.41,0.9905,1,0,22
21,14,0,0,2,1,-9.64,0.99,1,0,22
22,6,0,0,4,1,-4.96,0.9896,1,0,22
23,11,0,0,3,1,-6.71,0.9891,1,0,22
24,13,0,0,4,1,-6.08,0.9886,1,0,22
25,7,0,0,3,1,-6.62,0.9881,1,0,22
26,5,0,0,3,1,-5.1,0.9877,1,0,23
27,6,0,0,3,1,-5.61,0.9872,1,0,23
28,12,0,0,4,1,-6.47,0.9867,1,0,23
29,22,0,0,4,1,-11.12,0.9862,1,0,23
30,14,0,0,1,1,-7.09,0.9858,1,0,26
31,6,0,0,2,1,-6.46,0.9853,1,0,26
32,15,0,0,2,1,-9.0,0.9848,1,0,27
33,10,0,0,2,1,-6.55,0.9843,1,0,27
34,18,0,0,2,1,-9.78,0.9839,1,0,27
35,10,0,0,2,1,-7.45,0.9834,1,0,27
36,36,0,0,4,2,-16.76,0.9829,1,0,29
37,9,0,0,3,1,-6.74,0.9824,1,0,29
38,5,0,0,3,1,-5.2,0.9819,1,0,29
39,5,0,0,3,1,-6.15,0.9815,1,0,29
40,14,0,0,2,1,-8.64,0.981,1,0,29
41,5,0,0,3,1,-5.65,0.9805,1,0,29
42,8,0,0,3,1,-5.78,0.98,1,0,29
43,8,0,0,4,1,-5.53,0.9796,1,0,29
44,5,0,0,3,1,-5.2,0.9791,1,0,29
45,15,0,0,2,1,-8.15,0.9786,1,0,29
46,6,0,0,3,1,-5.71,0.9781,1,0,29
47,12,0,0,3,1,-7.82,0.9777,1,0,29
48,5,0,0,2,1,-5.45,0.9772,1,0,30
49,8,0,0,2,1,-6.43,0.9767,1,0,30
50,5,0,0,3,1,-4.75,0.9762,1,0,30
51,8,0,0,2,1,-7.48,0.9758,1,0,30
52,9,0,0,2,1,-7.04,0.9753,1,0,30
53,5,0,0,4,1,-5.35,0.9748,1,0,30
54,13,0,0,2,1,-8.53,0.9744,1,0,30
55,17,0,0,3,1,-9.02,0.9739,1,0,30
56,5,0,0,4,1,-5.35,0.9734,1,0,30
57,6,0,0,3,1,-5.76,0.9729,1,0,30
