episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,3,1,-5.12,0.9995,1,0,6
2,8,0,0,3,1,-6.23,0.999,1,0,10
3,6,0,0,2,1,-6.46,0.9986,1,0,11
4,11,0,0,2,1,-8.51,0.9981,1,0,11
5,5,0,0,3,1,-4.75,0.9976,1,0,14
6,36,0,0,3,2,-13.21,0.9971,1,0,21
7,5,0,0,3,1,-5.7,0.9967,1,0,22
8,11,0,0,2,1,-7.11,0.9962,1,0,22
9,13,0,0,1,1,-9.33,0.9957,1,0,24
10,24,0,0,3,1,-10.89,0.9952,1,0,25
11,9,0,0,3,1,-6.69,0.9948,1,0,25
12,16,0,0,3,1,-8.36,0.9943,1,0,26
13,22,0,0,3,1,-10.87,0.9938,1,0,31
14,6,0,0,3,1,-5.71,0.9933,1,0,31
15,15,0,0,2,1,-8.15,0.9929,1,0,32
16,18,0,0,2,1,-8.18,0.9924,1,0,34
17,6,0,0,4,1,-5.86,0.9919,1,0,34
18,12,0,0,4,1,-6.47,0.9915,1,0,38
19,16,0,0,2,1,-8.86,0.991,1,0,38
20,8,0,0,1,1,-7.28,0.9905,1,0,38
21,9,0,0,2,1,-6.59,0.99,1,0,38
22,19,0,0,3,1,-10.89,0.9896,1,0,38
23,12,0,0,2,1,-8.62,0.9891,1,0,38
24,5,0,0,2,1,-5.5,0.9886,1,0,38
25,10,0,0,6,1,-5.7,0.9881,1,0,39
26,6,0,0,3,1,-6.21,0.9877,1,0,39
27,16,0,0,4,2,-8.06,0.9872,1,0,40
28,18,0,0,2,1,-8.63,0.9867,1,0,41
29,20,0,0,3,1,-7.7,0.9862,1,0,41
30,8,0,0,2,1,-6.53,0.9858,1,0,41
31,7,0,0,4,1,-5.92,0.9853,1,0,41
32,9,0,0,4,1,-5.84,0.9848,1,0,41
33,5,0,0,2,1,-5.1,0.9843,1,0,41
34,33,0,0,3,3,-10.53,0.9839,1,0,43
35,14,0,0,3,1,-8.34,0.9834,1,0,43
36,5,0,0,4,1,-5.35,0.9829,1,0,43
37,8,0,0,3,1,-5.78,0.9824,1,0,43
38,8,0,0,2,1,-6.13,0.9819,1,0,43
39,5,0,0,4,1,-4.9,0.9815,1,0,43
40,15,0,0,3,1,-7.85,0.981,1,0,43
41,6,0,0,3,1,-5.71,0.9805,1,0,43
42,12,0,0,1,1,-8.42,0.98,1,0,43
43,5,0,0,2,1,-5.95,0.9796,1,0,43
44,8,0,0,2,1,-6.53,0.9791,1,0,43
45,5,0,0,1,1,-5.35,0.9786,1,0,43
46,8,0,0,1,1,-7.78,0.9781,1,0,43
47,9,0,0,3,1,-6.74,0.9777,1,0,43
48,5,0,0,3,1,-5.65,0.9772,1,0,43
49,13,0,0,2,1,-8.53,0.9767,1,0,43
50,17,0,0,3,1,-9.02,0.9762,1,0,43
51,5,0,0,3,1,-5.65,0.9758,1,0,43
52,6,0,0,3,1,-5.76,0.9753,1,0,43
53,16,0,0,3,1,-10.31,0.9748,1,0,43
54,9,0,0,3,1,-5.74,0.9744,1,0,43
55,6,0,0,2,1,-4.86,0.9739,1,0,43
56,10,0,0,2,1,-7.55,0.9734,1,0,43
57,6,0,0,2,1,-6.06,0.9729,1,0,43
