episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,5,0,0,2,1,-5.3,0.9995,1,0,5
2,23,0,0,2,1,-9.73,0.999,1,0,13
3,6,0,0,2,1,-5.56,0.9986,1,0,18
4,13,0,0,2,1,-7.68,0.9981,1,0,22
5,10,0,0,3,1,-6.75,0.9976,1,0,28
6,5,0,0,4,1,-5.35,0.9971,1,0,28
7,7,0,0,2,1,-6.02,0.9967,1,0,31
8,8,0,0,3,1,-7.23,0.9962,1,0,35
9,6,0,0,3,1,-5.56,0.9957,1,0,38
10,16,0,0,1,1,-10.01,0.9952,1,0,42
11,7,0,0,4,1,-5.92,0.9948,1,0,43
12,6,0,0,2,1,-6.96,0.9943,1,0,47
13,10,0,0,3,1,-6.75,0.9938,1,0,47
14,11,0,0,2,1,-7.66,0.9933,1,0,50
15,20,0,0,3,1,-10.5,0.9929,1,0,51
16,14,0,0,4,1,-8.44,0.9924,1,0,53
17,6,0,0,2,1,-6.01,0.9919,1,0,53
18,6,0,0,1,1,-5.81,0.9915,1,0,55
19,6,0,0,3,1,-6.06,0.991,1,0,55
20,22,0,0,3,1,-7.67,0.9905,1,0,55
21,5,0,0,4,1,-5.35,0.99,1,0,55
22,7,0,0,1,1,-6.32,0.9896,1,0,60
23,13,0,0,3,1,-6.43,0.9891,1,0,61
24,8,0,0,2,1,-6.48,0.9886,1,0,65
25,11,0,0,3,1,-6.81,0.9881,1,0,66
26,8,0,0,3,1,-5.73,0.9877,1,0,69
27,9,0,0,3,1,-6.69,0.9872,1,0,71
28,9,0,0,3,1,-6.74,0.9867,1,0,74
29,11,0,0,1,1,-7.36,0.9862,1,0,76
30,19,0,0,3,1,-7.39,0.9858,1,0,78
31,11,0,0,4,1,-5.96,0.9853,1,0,79
32,5,0,0,4,1,-5.35,0.9848,1,0,79
33,9,0,0,2,1,-5.14,0.9843,1,0,80
34,13,0,0,2,1,-7.23,0.9839,1,0,80
35,11,0,0,3,1,-7.21,0.9834,1,0,82
36,7,0,0,2,1,-6.47,0.9829,1,0,82
37,20,0,0,1,2,-9.05,0.9824,1,0,85
38,9,0,0,1,1,-8.29,0.9819,1,0,86
39,7,0,0,3,1,-6.22,0.9815,1,0,86
40,5,0,0,3,1,-5.65,0.981,1,0,87
41,5,0,0,2,1,-5.0,0.9805,1,0,89
42,5,0,0,3,1,-5.65,0.98,1,0,89
43,11,0,0,4,1,-5.96,0.9796,1,0,89
44,6,0,0,2,1,-6.46,0.9791,1,0,89
45,13,0,0,3,1,-7.83,0.9786,1,0,89
46,17,0,0,5,1,-8.72,0.9781,1,0,90
